#SampleID,BarcodeSequence,LinkerPrimerSequence,TreatmentPlant,Month,Season,Cold_hot,Year,M_A,SamplingPoint,SamplingPoint.T,Treat_Y_N,Cl2,ExtTemperature,Weather,Umidity,shannon
03A,,,Site 1,2,winter,cold,2013,dic-13,Aquifer,Aquifer,no,NA,7,sunny,B4,"9,145722421"
03B,,,Site 1,2,winter,cold,2013,dic-13,Cfilters,Cfilters,yes,NA,7,sunny,B4,"5,956412002"
03C,,,Site 1,2,winter,cold,2013,dic-13,Chlor,Chlor,yes,"0,02",7,sunny,B4,"4,960970379"
04A,,,Site 1,3,winter,cold,2014,gen-14,Aquifer,Aquifer,no,NA,1,cloudy,B4,"4,570824994"
04B,,,Site 1,3,winter,cold,2014,gen-14,Cfilters,Cfilters,yes,NA,1,cloudy,B4,"4,609038548"
04C,,,Site 1,3,winter,cold,2014,gen-14,Chlor,Chlor,yes,"0,03",1,cloudy,B4,"3,300129912"
05A,,,Site 1,4,winter,cold,2014,feb-14,Aquifer,Aquifer,no,NA,8,rain,B4,"9,412942178"
05B,,,Site 1,4,winter,cold,2014,feb-14,Cfilters,Cfilters,yes,NA,8,rain,B4,"4,706132821"
05C,,,Site 1,4,winter,cold,2014,feb-14,Chlor,Chlor,yes,"0,01",8,rain,B4,"5,980414991"
06A,,,Site 1,5,spring,warm,2014,mar-14,Aquifer,Aquifer,no,NA,14,sunny,B2,"8,239702147"
06B,,,Site 1,5,spring,warm,2014,mar-14,Cfilters,Cfilters,yes,NA,14,sunny,B2,"4,653280985"
06C,,,Site 1,5,spring,warm,2014,mar-14,Chlor,Chlor,yes,"0,01",14,sunny,B2,"3,450398339"
07A,,,Site 1,6,spring,warm,2014,apr-14,Aquifer,Aquifer,no,NA,18,sunny,B3,"8,249401913"
07B,,,Site 1,6,spring,warm,2014,apr-14,Cfilters,Cfilters,yes,NA,18,sunny,B3,"5,697783495"
07C,,,Site 1,6,spring,warm,2014,apr-14,Chlor,Chlor,yes,"0,02",18,sunny,B3,"6,050475973"
08A,,,Site 1,7,spring,warm,2014,714,Aquifer,Aquifer,no,NA,19,sunny,C2,"7,070334577"
08B,,,Site 1,7,spring,warm,2014,714,Cfilters,Cfilters,yes,NA,19,sunny,C2,"5,799459843"
08C,,,Site 1,7,spring,warm,2014,714,Chlor,Chlor,yes,"0,02",19,sunny,C2,"5,540456601"
09A,,,Site 1,8,summer,warm,2014,giu-14,Aquifer,Aquifer,no,NA,16,thunderous,B4,"8,529247681"
09B,,,Site 1,8,summer,warm,2014,giu-14,Cfilters,Cfilters,yes,NA,16,thunderous,B4,"6,362503545"
09C,,,Site 1,8,summer,warm,2014,giu-14,Chlor,Chlor,yes,"0,04",16,thunderous,B4,"5,04109962"
10A,,,Site 1,9,summer,hot,2014,lug-14,Aquifer,Aquifer,no,NA,28,sunny,B3,"4,392514565"
10B,,,Site 1,9,summer,hot,2014,lug-14,Cfilters,Cfilters,yes,NA,28,sunny,B3,"4,502615351"
10C,,,Site 1,9,summer,hot,2014,lug-14,Chlor,Chlor,yes,"0,01",28,sunny,B3,"4,890938193"
11A,,,Site 1,10,summer,hot,2014,ago-14,Aquifer,Aquifer,no,NA,25,sunny,B3,"4,788339891"
11B,,,Site 1,10,summer,hot,2014,ago-14,Cfilters,Cfilters,yes,NA,25,sunny,B3,"6,050607657"
11C,,,Site 1,10,summer,hot,2014,ago-14,Chlor,Chlor,yes,0,25,sunny,B3,"5,289249001"
12A,,,Site 1,11,autumn,hot,2014,set-14,Aquifer,Aquifer,no,NA,21,sunny,B3,"7,362930862"
12B,,,Site 1,11,autumn,hot,2014,set-14,Cfilters,Cfilters,yes,NA,21,sunny,B3,"6,567368176"
12C,,,Site 1,11,autumn,hot,2014,set-14,Chlor,Chlor,yes,"0,09",21,sunny,B3,"6,29849648"
13A,,,Site 1,0,autumn,warm,2014,ott-14,Aquifer,Aquifer,no,NA,16,rain,B4,"6,924191885"
13B,,,Site 1,0,autumn,warm,2014,ott-14,Cfilters,Cfilters,yes,NA,16,rain,B4,"5,91719925"
13C,,,Site 1,0,autumn,warm,2014,ott-14,Chlor,Chlor,yes,"0,1",16,rain,B4,"5,79525767"
